createdAt,userId,pid,nickname,topType,topScore,rankedJson
2025-08-19T17:38:22.779550,1,12AB,ting,insight,90.2,"[{""type"": ""insight"", ""name"": ""洞察型"", ""score"": 90.2, ""why"": ""根據你的依附焦慮、困擾程度表現，此型態可能較適合。""}, {""type"": ""empathy"", ""name"": ""同理型"", ""score"": 87.7, ""why"": ""根據你的依附迴避、理性思維表現，此型態可能較適合。""}, {""type"": ""solution"", ""name"": ""解決型"", ""score"": 74.9, ""why"": ""根據你的依附焦慮、自我懷疑表現，此型態可能較適合。""}, {""type"": ""cognitive"", ""name"": ""認知型"", ""score"": 72.8, ""why"": ""根據你的自我懷疑、依附迴避表現，此型態可能較適合。""}]"
2025-08-19T17:38:22.778370,1,12AB,ting,insight,90.2,"[{""type"": ""insight"", ""name"": ""洞察型"", ""score"": 90.2, ""why"": ""根據你的依附焦慮、困擾程度表現，此型態可能較適合。""}, {""type"": ""empathy"", ""name"": ""同理型"", ""score"": 87.7, ""why"": ""根據你的依附迴避、理性思維表現，此型態可能較適合。""}, {""type"": ""solution"", ""name"": ""解決型"", ""score"": 74.9, ""why"": ""根據你的依附焦慮、自我懷疑表現，此型態可能較適合。""}, {""type"": ""cognitive"", ""name"": ""認知型"", ""score"": 72.8, ""why"": ""根據你的自我懷疑、依附迴避表現，此型態可能較適合。""}]"
2025-08-20T07:57:53.505463,2,13AB,Amina,empathy,89.8,"[{""type"": ""empathy"", ""name"": ""同理型"", ""score"": 89.8, ""why"": ""根據你的依附迴避、理性思維表現，此型態可能較適合。""}, {""type"": ""insight"", ""name"": ""洞察型"", ""score"": 82.3, ""why"": ""根據你的依附迴避、困擾程度表現，此型態可能較適合。""}, {""type"": ""solution"", ""name"": ""解決型"", ""score"": 77, ""why"": ""根據你的依附迴避、依附焦慮表現，此型態可能較適合。""}, {""type"": ""cognitive"", ""name"": ""認知型"", ""score"": 75.9, ""why"": ""根據你的依附焦慮、自我懷疑表現，此型態可能較適合。""}]"
2025-08-20T07:57:53.501848,2,13AB,Amina,empathy,89.8,"[{""type"": ""empathy"", ""name"": ""同理型"", ""score"": 89.8, ""why"": ""根據你的依附迴避、理性思維表現，此型態可能較適合。""}, {""type"": ""insight"", ""name"": ""洞察型"", ""score"": 82.3, ""why"": ""根據你的依附迴避、困擾程度表現，此型態可能較適合。""}, {""type"": ""solution"", ""name"": ""解決型"", ""score"": 77, ""why"": ""根據你的依附迴避、依附焦慮表現，此型態可能較適合。""}, {""type"": ""cognitive"", ""name"": ""認知型"", ""score"": 75.9, ""why"": ""根據你的依附焦慮、自我懷疑表現，此型態可能較適合。""}]"
2025-08-20T07:57:57.649433,2,13AB,Amina,empathy,89.8,"[{""type"": ""empathy"", ""name"": ""同理型"", ""score"": 89.8, ""why"": ""根據你的依附迴避、理性思維表現，此型態可能較適合。""}, {""type"": ""insight"", ""name"": ""洞察型"", ""score"": 82.3, ""why"": ""根據你的依附迴避、困擾程度表現，此型態可能較適合。""}, {""type"": ""solution"", ""name"": ""解決型"", ""score"": 77, ""why"": ""根據你的依附迴避、依附焦慮表現，此型態可能較適合。""}, {""type"": ""cognitive"", ""name"": ""認知型"", ""score"": 75.9, ""why"": ""根據你的依附焦慮、自我懷疑表現，此型態可能較適合。""}]"
2025-08-20T07:57:57.650748,2,13AB,Amina,empathy,89.8,"[{""type"": ""empathy"", ""name"": ""同理型"", ""score"": 89.8, ""why"": ""根據你的依附迴避、理性思維表現，此型態可能較適合。""}, {""type"": ""insight"", ""name"": ""洞察型"", ""score"": 82.3, ""why"": ""根據你的依附迴避、困擾程度表現，此型態可能較適合。""}, {""type"": ""solution"", ""name"": ""解決型"", ""score"": 77, ""why"": ""根據你的依附迴避、依附焦慮表現，此型態可能較適合。""}, {""type"": ""cognitive"", ""name"": ""認知型"", ""score"": 75.9, ""why"": ""根據你的依附焦慮、自我懷疑表現，此型態可能較適合。""}]"
2025-08-20T07:58:04.114091,2,13AB,Amina,empathy,89.8,"[{""type"": ""empathy"", ""name"": ""同理型"", ""score"": 89.8, ""why"": ""根據你的依附迴避、理性思維表現，此型態可能較適合。""}, {""type"": ""insight"", ""name"": ""洞察型"", ""score"": 82.3, ""why"": ""根據你的依附迴避、困擾程度表現，此型態可能較適合。""}, {""type"": ""solution"", ""name"": ""解決型"", ""score"": 77, ""why"": ""根據你的依附迴避、依附焦慮表現，此型態可能較適合。""}, {""type"": ""cognitive"", ""name"": ""認知型"", ""score"": 75.9, ""why"": ""根據你的依附焦慮、自我懷疑表現，此型態可能較適合。""}]"
2025-08-20T07:58:04.117114,2,13AB,Amina,empathy,89.8,"[{""type"": ""empathy"", ""name"": ""同理型"", ""score"": 89.8, ""why"": ""根據你的依附迴避、理性思維表現，此型態可能較適合。""}, {""type"": ""insight"", ""name"": ""洞察型"", ""score"": 82.3, ""why"": ""根據你的依附迴避、困擾程度表現，此型態可能較適合。""}, {""type"": ""solution"", ""name"": ""解決型"", ""score"": 77, ""why"": ""根據你的依附迴避、依附焦慮表現，此型態可能較適合。""}, {""type"": ""cognitive"", ""name"": ""認知型"", ""score"": 75.9, ""why"": ""根據你的依附焦慮、自我懷疑表現，此型態可能較適合。""}]"
2025-08-20T07:58:07.024172,2,13AB,Amina,empathy,89.8,"[{""type"": ""empathy"", ""name"": ""同理型"", ""score"": 89.8, ""why"": ""根據你的依附迴避、理性思維表現，此型態可能較適合。""}, {""type"": ""insight"", ""name"": ""洞察型"", ""score"": 82.3, ""why"": ""根據你的依附迴避、困擾程度表現，此型態可能較適合。""}, {""type"": ""solution"", ""name"": ""解決型"", ""score"": 77, ""why"": ""根據你的依附迴避、依附焦慮表現，此型態可能較適合。""}, {""type"": ""cognitive"", ""name"": ""認知型"", ""score"": 75.9, ""why"": ""根據你的依附焦慮、自我懷疑表現，此型態可能較適合。""}]"
2025-08-20T07:58:07.031450,2,13AB,Amina,empathy,89.8,"[{""type"": ""empathy"", ""name"": ""同理型"", ""score"": 89.8, ""why"": ""根據你的依附迴避、理性思維表現，此型態可能較適合。""}, {""type"": ""insight"", ""name"": ""洞察型"", ""score"": 82.3, ""why"": ""根據你的依附迴避、困擾程度表現，此型態可能較適合。""}, {""type"": ""solution"", ""name"": ""解決型"", ""score"": 77, ""why"": ""根據你的依附迴避、依附焦慮表現，此型態可能較適合。""}, {""type"": ""cognitive"", ""name"": ""認知型"", ""score"": 75.9, ""why"": ""根據你的依附焦慮、自我懷疑表現，此型態可能較適合。""}]"
